source_dataset_id,municipality_code,source_layer,native_zone_code,native_zone_description,generator_class,mapping_rule,mapping_status,evidence,notes,source_feature_count
F3_SRC_FVG_PRGC_CURRENT_001,030007,Attimis\ZONIZZAZIONE_6708.shp,B,ZONA_OMOGE=B | ZONA_DESC=Zona omogenea B | SOTTOZONA=B1 | DEST_PREV=ZONA OMOGENEA B1 (Aree di centro urbano del Capoluogo con elevato grado di trasformazione) | ART_NTA=13,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,5
F3_SRC_FVG_PRGC_CURRENT_001,030007,Attimis\ZONIZZAZIONE_6708.shp,B,ZONA_OMOGE=B | ZONA_DESC=Zona omogenea B | SOTTOZONA=B1a | DEST_PREV=ZONA B1a (Aree di centro delle frazioni di montagna) | ART_NTA=14,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,12
F3_SRC_FVG_PRGC_CURRENT_001,030007,Attimis\ZONIZZAZIONE_6708.shp,B,ZONA_OMOGE=B | ZONA_DESC=Zona omogenea B | SOTTOZONA=B2 | DEST_PREV=ZONA OMOGENEA B2 (Espansioni recenti) | ART_NTA=15,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,111
F3_SRC_FVG_PRGC_CURRENT_001,030007,Attimis\ZONIZZAZIONE_6708.shp,B,ZONA_OMOGE=B | ZONA_DESC=Zona omogenea B | SOTTOZONA=B3 | DEST_PREV=ZONA OMOGENEA B3 (Nuclei abitati di origine storica) | ART_NTA=16,,STANDARD_NON_GENERATOR_ZONE_FAMILY,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,81
F3_SRC_FVG_PRGC_CURRENT_001,030007,Attimis\ZONIZZAZIONE_6708.shp,C,ZONA_OMOGE=C | ZONA_DESC=Zona omogenea C | SOTTOZONA=C | DEST_PREV=ZONA C (Zona di espansione residenziale) | ART_NTA=17 | NOTE=Indici diversi per zone particolari non differenziate (vedere NTA),,EXPLICIT_NON_GENERATOR_SEMANTICS,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,6
F3_SRC_FVG_PRGC_CURRENT_001,030007,Attimis\ZONIZZAZIONE_6708.shp,D,"ZONA_OMOGE=D | ZONA_DESC=Zona omogenea D | SOTTOZONA=D2 | DEST_PREV=ZONA D2 (Zone industriali-artigianali di previsione) | ART_NTA=19 | NOTE=Per servizi aziendali/interaziendali e attrezz. collettive: IF=3; Hmax=10,5; RQ=0,35",G1_PRODUCTIVE,FVG_D_FAMILY_ZONE_CODE,RESOLVED_INCLUDED,Official current/best-available PRGC vector; native attributes preserved,,1
F3_SRC_FVG_PRGC_CURRENT_001,030007,Attimis\ZONIZZAZIONE_6708.shp,D,ZONA_OMOGE=D | ZONA_DESC=Zona omogenea D | SOTTOZONA=D3 | DEST_PREV=ZONA D3 (Insediamenti industriali-artigianali esistenti) | ART_NTA=20,G1_PRODUCTIVE,FVG_D_FAMILY_ZONE_CODE,RESOLVED_INCLUDED,Official current/best-available PRGC vector; native attributes preserved,,5
F3_SRC_FVG_PRGC_CURRENT_001,030007,Attimis\ZONIZZAZIONE_6708.shp,D,ZONA_OMOGE=D | ZONA_DESC=Zona omogenea D | SOTTOZONA=D4 | DEST_PREV=ZONA D4 (Attività di estrazione materiali) | ART_NTA=21,G1_PRODUCTIVE,FVG_D_FAMILY_ZONE_CODE,RESOLVED_INCLUDED,Official current/best-available PRGC vector; native attributes preserved,,1
F3_SRC_FVG_PRGC_CURRENT_001,030007,Attimis\ZONIZZAZIONE_6708.shp,E,ZONA_OMOGE=E | ZONA_DESC=Zona omogenea E | SOTTOZONA=E2 | DEST_PREV=ZONA E2 (Ambiti boschivi) | ART_NTA=23,,EXPLICIT_NON_GENERATOR_SEMANTICS,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,84
F3_SRC_FVG_PRGC_CURRENT_001,030007,Attimis\ZONIZZAZIONE_6708.shp,E,ZONA_OMOGE=E | ZONA_DESC=Zona omogenea E | SOTTOZONA=E4 | DEST_PREV=ZONA E4 (Ambiti di interesse agricolo-paesaggistico di collina) | ART_NTA=24,,EXPLICIT_NON_GENERATOR_SEMANTICS,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,106
F3_SRC_FVG_PRGC_CURRENT_001,030007,Attimis\ZONIZZAZIONE_6708.shp,E,ZONA_OMOGE=E | ZONA_DESC=Zona omogenea E | SOTTOZONA=E4.1 | DEST_PREV=ZONA E4.1 (Ambiti di interesse agricolo-paesaggistico di montagna) | ART_NTA=25 | NOTE=Riportati indici e parametri per residenze e agriturismo; per altri interventi vedere NTA,,EXPLICIT_NON_GENERATOR_SEMANTICS,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,25
F3_SRC_FVG_PRGC_CURRENT_001,030007,Attimis\ZONIZZAZIONE_6708.shp,E,ZONA_OMOGE=E | ZONA_DESC=Zona omogenea E | SOTTOZONA=E4.2 | DEST_PREV=ZONA E4.2 (Ambiti agricoli di eminente interesse ambientale e di tutela delle zone fluviali) | ART_NTA=26,,EXPLICIT_NON_GENERATOR_SEMANTICS,RESOLVED_EXCLUDED,Official current/best-available PRGC vector; native attributes preserved,,15
